school,subject,criterion,by_all,by_year,by_gender,by_ethnicity,students,achievement,total
Maraeroa,Writing,End of Year 5,false,true,false,false,3.0,Well below,18
Maraeroa,Writing,End of Year 5,false,true,false,false,15.0,Below,18
Maraeroa,Writing,End of Year 5,false,true,false,false,0.0,At,18
Maraeroa,Writing,End of Year 5,false,true,false,false,0.0,Above,18
Maraeroa,Writing,End of Year 6,false,true,false,false,9.0,Well below,22
Maraeroa,Writing,End of Year 6,false,true,false,false,13.0,Below,22
Maraeroa,Writing,End of Year 6,false,true,false,false,0.0,At,22
Maraeroa,Writing,End of Year 6,false,true,false,false,0.0,Above,22
Maraeroa,Maths,After 1 year at school,false,true,false,false,4.0,Well below,19
Maraeroa,Maths,After 1 year at school,false,true,false,false,13.0,Below,19
Maraeroa,Maths,After 1 year at school,false,true,false,false,2.0,At,19
Maraeroa,Maths,After 1 year at school,false,true,false,false,0.0,Above,19
Maraeroa,Maths,After 2 years at school,false,true,false,false,7.0,Well below,21
Maraeroa,Maths,After 2 years at school,false,true,false,false,7.0,Below,21
Maraeroa,Maths,After 2 years at school,false,true,false,false,7.0,At,21
Maraeroa,Maths,After 2 years at school,false,true,false,false,0.0,Above,21
Maraeroa,Maths,After 3 years at school,false,true,false,false,3.0,Well below,22
Maraeroa,Maths,After 3 years at school,false,true,false,false,17.0,Below,22
Maraeroa,Maths,After 3 years at school,false,true,false,false,2.0,At,22
Maraeroa,Maths,After 3 years at school,false,true,false,false,0.0,Above,22
Maraeroa,Maths,End of Year 4,false,true,false,false,0.0,Well below,17
Maraeroa,Maths,End of Year 4,false,true,false,false,10.0,Below,17
Maraeroa,Maths,End of Year 4,false,true,false,false,7.0,At,17
Maraeroa,Maths,End of Year 4,false,true,false,false,0.0,Above,17
Maraeroa,Maths,End of Year 5,false,true,false,false,8.0,Well below,18
Maraeroa,Maths,End of Year 5,false,true,false,false,7.0,Below,18
Maraeroa,Maths,End of Year 5,false,true,false,false,3.0,At,18
Maraeroa,Maths,End of Year 5,false,true,false,false,0.0,Above,18
Maraeroa,Maths,End of Year 6,false,true,false,false,12.0,Well below,22
Maraeroa,Maths,End of Year 6,false,true,false,false,4.0,Below,22
Maraeroa,Maths,End of Year 6,false,true,false,false,6.0,At,22
Maraeroa,Maths,End of Year 6,false,true,false,false,0.0,Above,22
Windley,Reading,After 1 year at school,false,true,false,false,7.0,Well below,35
Windley,Reading,After 1 year at school,false,true,false,false,11.0,Below,35
Windley,Reading,After 1 year at school,false,true,false,false,13.0,At,35
Windley,Reading,After 1 year at school,false,true,false,false,4.0,Above,35
Windley,Reading,After 2 years at school,false,true,false,false,3.0,Well below,28
Windley,Reading,After 2 years at school,false,true,false,false,11.0,Below,28
Windley,Reading,After 2 years at school,false,true,false,false,10.0,At,28
Windley,Reading,After 2 years at school,false,true,false,false,4.0,Above,28
Windley,Reading,After 3 years at school,false,true,false,false,3.0,Well below,38
Windley,Reading,After 3 years at school,false,true,false,false,3.0,Below,38
Windley,Reading,After 3 years at school,false,true,false,false,24.0,At,38
Windley,Reading,After 3 years at school,false,true,false,false,8.0,Above,38
Windley,Reading,End of Year 4,false,true,false,false,7.0,Well below,41
Windley,Reading,End of Year 4,false,true,false,false,7.0,Below,41
Windley,Reading,End of Year 4,false,true,false,false,12.0,At,41
Windley,Reading,End of Year 4,false,true,false,false,15.0,Above,41
Windley,Reading,End of Year 5,false,true,false,false,13.0,Well below,33
Windley,Reading,End of Year 5,false,true,false,false,9.0,Below,33
Windley,Reading,End of Year 5,false,true,false,false,7.0,At,33
Windley,Reading,End of Year 5,false,true,false,false,4.0,Above,33
Windley,Reading,End of Year 6,false,true,false,false,12.0,Well below,40
Windley,Reading,End of Year 6,false,true,false,false,12.0,Below,40
Windley,Reading,End of Year 6,false,true,false,false,12.0,At,40
Windley,Reading,End of Year 6,false,true,false,false,4.0,Above,40
Windley,Reading,End of Year 7,false,true,false,false,13.0,Well below,49
Windley,Reading,End of Year 7,false,true,false,false,18.0,Below,49
Windley,Reading,End of Year 7,false,true,false,false,14.0,At,49
Windley,Reading,End of Year 7,false,true,false,false,4.0,Above,49
Windley,Reading,End of Year 8,false,true,false,false,18.0,Well below,58
Windley,Reading,End of Year 8,false,true,false,false,21.0,Below,58
Windley,Reading,End of Year 8,false,true,false,false,17.0,At,58
Windley,Reading,End of Year 8,false,true,false,false,2.0,Above,58
Windley,Writing,After 1 year at school,false,true,false,false,8.0,Well below,35
Windley,Writing,After 1 year at school,false,true,false,false,11.0,Below,35
Windley,Writing,After 1 year at school,false,true,false,false,15.0,At,35
Windley,Writing,After 1 year at school,false,true,false,false,1.0,Above,35
Windley,Writing,After 2 years at school,false,true,false,false,5.0,Well below,28
Windley,Writing,After 2 years at school,false,true,false,false,10.0,Below,28
Windley,Writing,After 2 years at school,false,true,false,false,11.0,At,28
Windley,Writing,After 2 years at school,false,true,false,false,2.0,Above,28
Windley,Writing,After 3 years at school,false,true,false,false,3.0,Well below,38
Windley,Writing,After 3 years at school,false,true,false,false,8.0,Below,38
Windley,Writing,After 3 years at school,false,true,false,false,22.0,At,38
Windley,Writing,After 3 years at school,false,true,false,false,5.0,Above,38
Windley,Writing,End of Year 4,false,true,false,false,5.0,Well below,41
Windley,Writing,End of Year 4,false,true,false,false,7.0,Below,41
Windley,Writing,End of Year 4,false,true,false,false,18.0,At,41
Windley,Writing,End of Year 4,false,true,false,false,11.0,Above,41
Windley,Writing,End of Year 5,false,true,false,false,9.0,Well below,33
Windley,Writing,End of Year 5,false,true,false,false,14.0,Below,33
Windley,Writing,End of Year 5,false,true,false,false,8.0,At,33
Windley,Writing,End of Year 5,false,true,false,false,2.0,Above,33
Windley,Writing,End of Year 6,false,true,false,false,12.0,Well below,40
Windley,Writing,End of Year 6,false,true,false,false,11.0,Below,40
Windley,Writing,End of Year 6,false,true,false,false,14.0,At,40
Windley,Writing,End of Year 6,false,true,false,false,3.0,Above,40
Windley,Writing,End of Year 7,false,true,false,false,14.0,Well below,49
Windley,Writing,End of Year 7,false,true,false,false,20.0,Below,49
Windley,Writing,End of Year 7,false,true,false,false,14.0,At,49
Windley,Writing,End of Year 7,false,true,false,false,1.0,Above,49
Windley,Writing,End of Year 8,false,true,false,false,23.0,Well below,58
Windley,Writing,End of Year 8,false,true,false,false,20.0,Below,58
Windley,Writing,End of Year 8,false,true,false,false,14.0,At,58
Windley,Writing,End of Year 8,false,true,false,false,1.0,Above,58
Windley,Maths,After 1 year at school,false,true,false,false,2.0,Well below,35
Windley,Maths,After 1 year at school,false,true,false,false,4.0,Below,35
Windley,Maths,After 1 year at school,false,true,false,false,26.0,At,35
Windley,Maths,After 1 year at school,false,true,false,false,3.0,Above,35
Windley,Maths,After 2 years at school,false,true,false,false,2.0,Well below,28
Windley,Maths,After 2 years at school,false,true,false,false,5.0,Below,28
Windley,Maths,After 2 years at school,false,true,false,false,15.0,At,28
Windley,Maths,After 2 years at school,false,true,false,false,6.0,Above,28
Windley,Maths,After 3 years at school,false,true,false,false,3.0,Well below,38
Windley,Maths,After 3 years at school,false,true,false,false,5.0,Below,38
Windley,Maths,After 3 years at school,false,true,false,false,26.0,At,38
Windley,Maths,After 3 years at school,false,true,false,false,4.0,Above,38
Windley,Maths,End of Year 4,false,true,false,false,3.0,Well below,41
Windley,Maths,End of Year 4,false,true,false,false,11.0,Below,41
Windley,Maths,End of Year 4,false,true,false,false,15.0,At,41
Windley,Maths,End of Year 4,false,true,false,false,12.0,Above,41
Windley,Maths,End of Year 5,false,true,false,false,4.0,Well below,33
Windley,Maths,End of Year 5,false,true,false,false,17.0,Below,33
Windley,Maths,End of Year 5,false,true,false,false,10.0,At,33
Windley,Maths,End of Year 5,false,true,false,false,2.0,Above,33
Windley,Maths,End of Year 6,false,true,false,false,7.0,Well below,40
Windley,Maths,End of Year 6,false,true,false,false,15.0,Below,40
Windley,Maths,End of Year 6,false,true,false,false,16.0,At,40
Windley,Maths,End of Year 6,false,true,false,false,2.0,Above,40
Windley,Maths,End of Year 7,false,true,false,false,9.0,Well below,49
Windley,Maths,End of Year 7,false,true,false,false,23.0,Below,49
Windley,Maths,End of Year 7,false,true,false,false,11.0,At,49
Windley,Maths,End of Year 7,false,true,false,false,6.0,Above,49
Windley,Maths,End of Year 8,false,true,false,false,20.0,Well below,58
Windley,Maths,End of Year 8,false,true,false,false,20.0,Below,58
Windley,Maths,End of Year 8,false,true,false,false,16.0,At,58
Windley,Maths,End of Year 8,false,true,false,false,2.0,Above,58
